SubjID,Subject,Sex,Age,Scan,ScanType,RSN0,RSN1,RSN2,RSN3,RSN4,RSN5,RSN6,RSN7,RSN8,RSN9
1,CCD014,F,25,1,FB,0.110057553838,-0.101007878863,-0.269289207773,0.484633950435,-0.207314649206,0.00256458196327,0.0523190632508,0.292722152557,-0.0191580096521,-0.442302002833
1,CCD014,F,25,2,NOFB,-0.217603645986,0.287994154228,-0.172312776699,0.598773636153,0.0147132566671,0.0334190229176,-0.0546723721027,0.419044569814,-0.417812243955,-0.726987773473
2,CCD015,F,30,1,NOFB,0.0770477933068,-0.337418338804,-0.326709176417,0.166338338242,0.210640880165,0.030520816771,0.165025081609,-0.0576050823853,-0.440929056371,-0.215880365773
2,CCD015,F,30,2,FB,-0.0934313420193,-0.201519299175,0.0118015933012,0.0624513398876,-0.0783062738312,0.0048171646134,-0.024628969569,-0.13363501587,-0.11935710855,-0.245710287358
3,CCD016,M,23,1,FB,0.145320579188,0.144620981485,0.0431477451949,0.386995691921,0.00783561733054,-0.339375463108,0.0521791325971,0.156712689307,-0.312117025227,-0.351074010715
3,CCD016,M,23,2,NOFB,-0.140144851594,0.342520273447,0.246626535772,0.61833082747,0.181273852333,-0.239253971635,0.203453677004,-0.192800215432,-0.660705132651,-0.666410145877
4,CCD017,F,22,1,NOFB,0.261608353905,-0.112689321683,-0.153257687291,0.139121976157,0.0910158342356,0.0453924688982,0.205556011427,0.0200816685401,-0.279614805413,-0.0210778187204
4,CCD017,F,22,2,FB,0.251326527231,-0.152930737072,-0.117337915962,0.166350592345,0.00304180125853,-0.0331476183202,0.175387434692,0.197332820169,0.00873751522846,0.0893102822784
5,CCD018,F,26,1,FB,0.207935940309,0.00209727358243,-0.104322398563,0.248094043195,0.0278800108815,-0.0864540179678,-0.00527934229064,-0.122918923449,-0.300619371676,-0.277599305548
5,CCD018,F,26,2,NOFB,0.494917832189,0.081535954795,-0.111641216628,0.263665784724,0.113449314003,-0.237363002186,-0.0963251567467,-0.0416143068533,-0.452695626944,-0.277867916358
6,CCD019,F,20,1,NOFB,0.0510209389658,0.0220209235574,-0.0663399464905,0.0805697197568,0.082507683839,-0.0202001957104,-0.107457564316,-0.0740569688724,-0.122809518046,-0.156941099281
6,CCD019,F,20,2,FB,0.0788103204927,-0.198306320692,-0.165462098876,0.319493730681,0.119180532168,-0.308160201233,0.0382368597332,0.108249407074,-0.274368224164,-0.0495449736834
7,CCD020,M,20,1,FB,0.187444807006,-0.40664358715,-0.338280523449,0.197051888726,0.166686144617,-0.154026635397,0.0554243452423,0.277843950319,-0.285463313402,-0.434014953068
7,CCD020,M,20,2,NOFB,0.0661554543879,-0.115819113665,0.102588535475,0.391919131822,-0.0211583601599,-0.031585435693,0.257156643798,0.0340715302129,-0.409492707975,-0.359785175498
8,CCD022,F,22,1,FB,0.0217000343758,-0.0822571160195,0.0912676214074,0.227048648388,-0.0870140565781,-0.0720718519277,-0.130125343313,-0.102958980049,0.0681215210733,-0.232549471031
8,CCD022,F,22,2,NOFB,0.028130820208,-0.143112172709,0.243852144341,0.156616384321,-0.0151611639365,0.0560532170453,0.193422492883,0.134925022257,0.217959977098,-0.305215220039
9,CCD023,M,31,1,NOFB,0.288039500307,0.00415672650692,0.0212780256412,0.038567828842,0.0422015941291,-0.109375258227,-0.12903307092,-0.164509818398,-0.188746730241,-0.109198727128
9,CCD023,M,31,2,FB,0.301574511153,0.0325424414477,0.131991743014,0.308198829401,-0.213354078964,-0.105805638485,-0.0696961928966,-0.211062679167,0.0286614163865,-0.0630748535338
10,CCD024,M,24,1,FB,0.32128615529,-0.281719353822,-0.225296294446,0.258151955602,-0.0615890024587,-0.0866481222047,-0.00060150052269,0.0316707202218,-0.157162888128,-0.00314961955248
10,CCD024,M,24,2,NOFB,0.206163281888,0.0632000515314,-0.323031543173,0.219968607612,0.156134046038,-0.181769535042,-0.148458640829,0.0954994588779,-0.0743757779512,0.138752104905
11,CCD025,F,21,1,NOFB,0.0434360610533,-0.0583883044415,-0.178869482866,0.245485488692,0.15812623498,0.0452470655807,-0.130677865125,0.00991268476587,-0.259867829379,-0.0821797479262
11,CCD025,F,21,2,FB,0.26143317846,-0.162753174888,-0.307005771125,0.183650001739,0.149042472027,-0.124282677034,-0.305750652163,-0.148415567826,-0.396281828194,-0.210440387768
12,CCD026,M,20,1,FB,0.0306043892344,-0.0132864526271,-0.00878628658807,0.0404597787022,-0.0861506890835,-0.119401763634,-0.136682782667,-0.158379846267,-0.186887815913,-0.23625864715
12,CCD026,M,20,2,NOFB,0.0692125471755,0.0610830527697,-0.0417100165565,0.0507771349089,-0.0687858863505,0.00587845215718,-0.0708051713202,-0.124454688127,-0.028403377828,-0.1343706169
13,CCD027,F,21,1,NOFB,-0.11442916411,-0.100077091047,-0.0622269458182,0.315781963479,-0.0278142015438,0.118396384965,0.0505500809494,0.195088517536,0.100127308751,-0.109469662913
13,CCD027,F,21,2,FB,0.0888946506957,-0.0338991553942,-0.181784313294,0.349933246927,0.118101474201,0.0165545187538,0.0843591586049,0.256525818447,-0.292592621299,-0.120866899002
